SG_UE,NM_UE,SG_UF,NM_URNA_CANDIDATO,SG_PARTIDO,DS_SIT_TOT_TURNO,NR_TURNO
96393,VARJÃO,GO,RAFAEL PEREIRA,DEM,ELEITO,1
81450,IMBUIA,SC,DENY SCHEIDT,MDB,ELEITO,1
61697,AREIAS,SP,PAULO HENRIQUE PH,MDB,ELEITO,1
08290,MATINHA,MA,LINIELDA DE ELDO,PC do B,ELEITO,1
17094,JARDIM DE PIRANHAS,RN,ROGERIO COURO FINO,MDB,ELEITO,1
70432,SANTA MERCEDES,SP,VALDIR VERONA,PSDB,ELEITO,1
41645,SÃO JOSÉ DA BARRA,MG,SERGINHO,PSB,ELEITO,1
89974,SALTO DO CÉU,MT,PROF MAUTO,SOLIDARIEDADE,ELEITO,1
12424,LAGOA DO PIAUÍ,PI,MAURO JÚNIOR,MDB,ELEITO,1
05010,ÓBIDOS,PA,JAIME SILVA,MDB,ELEITO,1
10863,LAGOA DE SÃO FRANCISCO,PI,JOÃO ARILSON,PT,ELEITO,1
85880,CASEIROS,RS,LEO,MDB,ELEITO,1
61174,ALTAIR,SP,FERREIRA,DEM,ELEITO,1
58122,QUEIMADOS,RJ,GLAUCO KAIZER,SOLIDARIEDADE,ELEITO,1
73610,BARRA DO OURO,TO,NELIDA MIRANDA CAVALCANTE,PV,ELEITO,1
41742,BONITO DE MINAS,MG,VÂNIA CARNEIRO,AVANTE,ELEITO,1
50717,PRUDENTE DE MORAIS,MG,JOCIMAR BRANDÃO JÓ DE BRANDÃO,PSB,ELEITO,1
09253,SÃO RAIMUNDO DAS MANGABEIRAS,MA,ACCIOLY CARDOSO,PSD,ELEITO,1
19720,PARARI,PB,GENIVAL QUEIROZ,PL,ELEITO,1
50474,POTÉ,MG,NEGO SAMPAIO,MDB,ELEITO,1
43117,CEDRO DO ABAETÉ,MG,LUIZ ANTONIO,DEM,ELEITO,1
67016,MIRA ESTRELA,SP,PRISCILLA DO MACARRÃO,DEM,ELEITO,1
65153,INDIAPORÃ,SP,ADERITO CAMARGO,PSDB,ELEITO,1
89800,CURVELÂNDIA,MT,JADILSON,REPUBLICANOS,ELEITO,1
38938,SÁTIRO DIAS,BA,PEDRITO,PSB,ELEITO,1
88234,ROLANTE,RS,PEDRO RIPPEL,PP,ELEITO,1
87327,PARECI NOVO,RS,ALEXANDRE BARTH,PDT,ELEITO,1
33839,BOTUPORÃ,BA,EDIMILSON,PP,ELEITO,1
34754,CONTENDAS DO SINCORÁ,BA,MARGARETH,PROS,ELEITO,1
22276,SUMÉ,PB,EDEN DUARTE,PL,ELEITO,1
85669,TAQUARUÇU DO SUL,RS,BIBI,PT,ELEITO,1
07200,BERNARDO DO MEARIM,MA,JUNIOR XAVIER,PDT,ELEITO,1
98310,JUÍNA,MT,PAULO VERONESE,PODE,ELEITO,1
92983,JESÚPOLIS,GO,ADRIANO PEIXOTO,PP,ELEITO,1
39934,TEIXEIRA DE FREITAS,BA,DOUTOR MARCELO BELITARDO,DEM,ELEITO,1
07730,DOM PEDRO,MA,GALEGO MOTA,SOLIDARIEDADE,ELEITO,1
52051,SANTO ANTÔNIO DO JACINTO,MG,HUGA BANDEIRA,SOLIDARIEDADE,ELEITO,1
35700,IGRAPIÚNA,BA,MANOEL RIBEIRO,PP,ELEITO,1
06009,PRACUÚBA,AP,JUNIOR LEITE,REPUBLICANOS,ELEITO,1
33782,BOM JESUS DA SERRA,BA,JORNANDINHO,PP,ELEITO,1
76236,IVAIPORÃ,PR,CARLOS GIL,PSD,ELEITO,1
52450,SÃO JOÃO DA MATA,MG,MIRO,PATRIOTA,ELEITO,1
93289,VILA BOA,GO,RUBENS,DEM,ELEITO,1
19178,ARARA,PB,NEN,AVANTE,ELEITO,1
15377,RUSSAS,CE,SAVIO GURGEL,PDT,ELEITO,1
40541,PEDRAS DE MARIA DA CRUZ,MG,RODRIGO FERNANDES,PP,ELEITO,1
25259,POMBOS,PE,DR.MARCOS,PSB,ELEITO,1
88749,VILA LÂNGARO,RS,ANILDO,MDB,ELEITO,1
52493,SÃO JOÃO DEL REI,MG,NIVALDO ANDRADE,PSL,ELEITO,1
88374,SANTA BÁRBARA DO SUL,RS,MÁRIO FILHO,PP,ELEITO,1
66516,LUCIANÓPOLIS,SP,HUMBERTO,PSDB,ELEITO,1
66010,JANDIRA,SP,DOUTOR SATO,PSDB,ELEITO,1
04421,NOVO REPARTIMENTO,PA,VALDIR LEMES,PSD,ELEITO,1
77259,NOVA LONDRINA,PR,VICO,PSC,ELEITO,1
81086,MORRO GRANDE,SC,KÉIO,PP,ELEITO,1
53511,SIMONÉSIA,MG,MARINALVA FERREIRA,PL,ELEITO,1
41882,CHAPADA GAÚCHA,MG,JAIRZINHO,AVANTE,ELEITO,1
47759,LUZ,MG,AGOSTINHO,PT,ELEITO,1
24694,LAGOA DE ITAENGA,PE,GRAÇA DO MOINHO,PSB,ELEITO,1
93599,FLORES DE GOIÁS,GO,ALTRAN AVELAR,DEM,ELEITO,1
03085,RORAINÓPOLIS,RR,LEANDRO PEREIRA,SOLIDARIEDADE,ELEITO,1
90824,GAÚCHA DO NORTE,MT,VONEY GOIANO,MDB,ELEITO,1
95354,PILAR DE GOIÁS,GO,TIAGÃO,PSDB,ELEITO,1
61727,HORTOLÂNDIA,SP,PERUGINI,PSD,ELEITO,1
41521,SANTO ANTÔNIO DO RETIRO,MG,IVO DO SINDICATO,CIDADANIA,ELEITO,1
73083,PALMEIRANTE,TO,RAIMUNDINHO BRANDÃO,PTB,ELEITO,1
68594,PILAR DO SUL,SP,MARQUINHO DA AUTO ESCOLA,DEM,ELEITO,1
75027,NOVA ESPERANÇA DO SUDOESTE,PR,JAIME STANG,PSD,ELEITO,1
91154,NIOAQUE,MS,VALDIR JÚNIOR,PSDB,ELEITO,1
00310,ALTA FLORESTA D'OESTE,RO,GIO DAMO,PODE,ELEITO,1
58017,ANGRA DOS REIS,RJ,FERNANDO JORDÃO,MDB,ELEITO,1
69418,QUINTANA,SP,FERNANDO ITAPUÃ,PSC,ELEITO,1
66036,JARDINÓPOLIS,SP,PAULO BRIGLIADORI,CIDADANIA,ELEITO,1
13005,JIJOCA DE JERICOACOARA,CE,LINDBERGH,PSD,ELEITO,1
04022,TAILÂNDIA,PA,MACARRÃO,MDB,ELEITO,1
40452,ALVINÓPOLIS,MG,MAUROSAN,MDB,ELEITO,1
85316,BAGÉ,RS,DIVALDO LARA,PTB,ELEITO,1
41300,PATIS,MG,VALMIR MORAIS,PTB,ELEITO,1
70572,SANTO ANDRÉ,SP,PAULO SERRA,PSDB,ELEITO,1
65315,IRAPUÃ,SP,RENI,DEM,ELEITO,1
66796,MARIÁPOLIS,SP,RICARDO WATANABE,PV,ELEITO,1
53074,SAPUCAÍ-MIRIM,MG,NILSINHO,PP,ELEITO,1
13293,ARNEIROZ,CE,MONTEIRO FILHO,MDB,ELEITO,1
21458,PRATA,PB,GENIVALDO TEMBÓRIO,CIDADANIA,ELEITO,1
90794,GLÓRIA DE DOURADOS,MS,ARISTEU NANTES,PATRIOTA,ELEITO,1
36706,JUCURUÇU,BA,LILI,PSDB,ELEITO,1
87440,PONTE PRETA,RS,JOSIEL GRISELI,PT,ELEITO,1
30716,AMÉRICA DOURADA,BA,JOELSON,PL,ELEITO,1
16012,ACARI,RN,FERNANDO,SOLIDARIEDADE,ELEITO,1
40711,ARANTINA,MG,EDIMAR DA LIA,AVANTE,ELEITO,1
91375,PORTO MURTINHO,MS,NELSON CINTRA,PSDB,ELEITO,1
83194,SÃO FRANCISCO DO SUL,SC,GODOFREDO,MDB,ELEITO,1
86070,CIRÍACO,RS,ODACIR MELLO,PT,ELEITO,1
04693,IRITUIA,PA,MARCOS TONHEIRO,PL,ELEITO,1
05479,SÃO FRANCISCO DO PARÁ,PA,PROFESSOR MARCOS,PSD,ELEITO,1
30953,GUAJERU,BA,GALEGO,PSD,ELEITO,1
92630,BARRO ALTO,GO,PROFESSOR ALVARO,MDB,ELEITO,1
82074,MASSARANDUBA,SC,SESAR TASSI,MDB,ELEITO,1
19569,SANTA INÊS,PB,FELIX VIEIRA,PDT,ELEITO,1
85677,CAIÇARA,RS,DANIEL,PDT,ELEITO,1
85430,BOA VISTA DO BURICÁ,RS,JOÃOZINHO SEHNEM,MDB,ELEITO,1
07250,BACURI,MA,DR WASHINGTON,PSC,ELEITO,1
90018,ACORIZAL,MT,DIEGO TAQUES,PSD,ELEITO,1
05878,GARRAFÃO DO NORTE,PA,EDILMA ALVES,PSB,ELEITO,1
19615,CAAPORÃ,PB,KIKO MONTEIRO,DEM,ELEITO,1
20958,MONTEIRO,PB,LORENA,PL,ELEITO,1
68292,PAULICÉIA,SP,SIMONATO,PSD,ELEITO,1
58050,BARRA DO PIRAÍ,RJ,MARIO ESTEVES,REPUBLICANOS,ELEITO,1
02054,ATALAIA DO NORTE,AM,DENIS PAIVA,PSC,ELEITO,1
26239,VERTENTES,PE,ROMERO LEAL,PSDB,ELEITO,1
88641,CERRITO,RS,DOUGLAS SILVEIRA,PP,ELEITO,1
41416,BOA ESPERANÇA,MG,HIDERALDO HENRIQUE,MDB,ELEITO,1
19780,BARRA DE SANTANA,PB,CACILDA,PSD,ELEITO,1
56022,ÁGUA DOCE DO NORTE,ES,ABRAÃO LINCON,PSD,ELEITO,1
77356,PALMEIRA,PR,SERGIO BELICH,DEM,ELEITO,1
19020,SOBRADO,PB,LÉO,CIDADANIA,ELEITO,1
36897,LICÍNIO DE ALMEIDA,BA,DR FRED,PC do B,ELEITO,1
82490,PETROLÂNDIA,SC,IRONE,PP,ELEITO,1
15881,CROATÁ,CE,RONILSON OLIVEIRA,MDB,ELEITO,1
56081,VILA PAVÃO,ES,BOLINHA,PSB,ELEITO,1
30856,CANUDOS,BA,JILSON CARDOSO,PSD,ELEITO,1
92436,ARAGUATINS,TO,AQUILES DA AREIA,PP,ELEITO,1
25372,RIO FORMOSO,PE,ISABEL HACKER,PSB,ELEITO,1
10685,DOM INOCÊNCIO,PI,VIRGINIA,PP,ELEITO,1
93190,CORUMBAÍBA,GO,RODRIGO CEBOLA,PODE,ELEITO,1
76635,LOANDA,PR,ZÉ MARIA,PROS,ELEITO,1
88692,SÃO GABRIEL,RS,ROSSANO,PL,ELEITO,1
86940,MANOEL VIANA,RS,GUSTAVO,PDT,ELEITO,1
31917,NOSSA SENHORA DAS DORES,SE,MÁRIO,CIDADANIA,ELEITO,1
69671,RIBEIRÃO PIRES,SP,GUTO VOLPI,PL,ELEITO,1
84654,DOURADINA,PR,OBERDAM,PSL,ELEITO,1
38822,SÃO FÉLIX DO CORIBE,BA,CHEPA RIBEIRO,PP,ELEITO,1
78174,RIO AZUL,PR,LEANDRO JASINSKI,PSD,ELEITO,1
75914,IBIPORÃ,PR,JOSÉ MARIA,PSD,ELEITO,1
81221,BELA VISTA DO TOLDO,SC,ADELMO ALBERTI,PSL,ELEITO,1
39411,UBAÍRA,BA,LUCIO MONTEIRO,PSD,ELEITO,1
61573,ARAÇOIABA DA SERRA,SP,DR. QUEVEDO,PSD,ELEITO,1
07170,ARAIOSES,MA,LUCIANA TRINTA,PC do B,ELEITO,1
56910,SANTA TERESA,ES,KLEBER MEDICI,PSDB,ELEITO,1
93530,FAZENDA NOVA,GO,MARCUS,CIDADANIA,ELEITO,1
48534,MONTALVÂNIA,MG,FRED DO RALLY,PODE,ELEITO,1
73571,PUGMIL,TO,DIRCINEU BOLINA,DEM,ELEITO,1
70378,SANTA ISABEL,SP,DR CARLOS CHINCHILLA,PSL,ELEITO,1
71935,TIMBURI,SP,SILVINHO,MDB,ELEITO,1
55000,NOVA ALVORADA DO SUL,MS,PALEARI,DEM,ELEITO,1
14516,LAVRAS DA MANGABEIRA,CE,RONALDO DA MADEIREIRA,PSD,ELEITO,1
08125,PRESIDENTE MÉDICI,MA,DR CAÇULA COELHO,REPUBLICANOS,ELEITO,1
74438,BALSA NOVA,PR,MARCOS ZANETTI,PSD,ELEITO,1
19550,BORBOREMA,PB,GILENE CÂNDIDO,CIDADANIA,ELEITO,1
05851,CURIONÓPOLIS,PA,MARIANA CHAMON,MDB,ELEITO,1
39357,TREMEDAL,BA,DR. ZÉ BAHIA,PODE,ELEITO,1
33898,BROTAS DE MACAÚBAS,BA,DR KLEBER,PSD,ELEITO,1
